Hour,Group,Filename,Total_Pellets
0,FF30 sec timeout,FED001_072424_00.CSV,7.0
0,FF30 sec timeout,FED002_072424_01.CSV,5.0
0,FF30 sec timeout,FED003_072424_00.CSV,0.5
0,FF30 sec timeout,FED004_072424_00.CSV,4.5
0,FF30 sec timeout,FED005_072424_01.CSV,0.0
0,FF30 sec timeout,FED006_072424_00.CSV,5.0
0,FF30 sec timeout,FED007_072424_01.CSV,4.0
0,FF30 sec timeout,FED008_072424_01.CSV,3.0
0,FF30 sec timeout,FED009_072424_00.CSV,6.5
0,FFNo timeout,FED001_072224_00.CSV,15.5
0,FFNo timeout,FED002_072224_00.CSV,0.5
0,FFNo timeout,FED003_072224_00.CSV,0.0
0,FFNo timeout,FED004_072224_00.CSV,5.5
0,FFNo timeout,FED005_072224_00.CSV,3.5
0,FFNo timeout,FED006_072224_00.CSV,10.0
0,FFNo timeout,FED007_072124_00.CSV,5.0
0,FFNo timeout,FED008_072224_00.CSV,6.0
0,FFNo timeout,FED009_072224_00.CSV,19.0
0,FR1No timeout,FED001_FR1concat.csv,4.0
0,FR1No timeout,FED002_FR1concat.csv,0.5
0,FR1No timeout,FED003_FR1concat.csv,2.0
0,FR1No timeout,FED004_FR1concat.csv,3.5
0,FR1No timeout,FED005_FR1concat.csv,5.5
0,FR1No timeout,FED006_FR1concat.csv,1.0
0,FR1No timeout,FED007_FR1concat.csv,2.5
0,FR1No timeout,FED008_FR1concat.csv,6.5
0,FR1No timeout,FED009_FR1concat.csv,8.5
1,FF30 sec timeout,FED001_072424_00.CSV,2.0
1,FF30 sec timeout,FED002_072424_01.CSV,5.5
1,FF30 sec timeout,FED003_072424_00.CSV,3.5
1,FF30 sec timeout,FED004_072424_00.CSV,0.0
1,FF30 sec timeout,FED005_072424_01.CSV,1.0
1,FF30 sec timeout,FED006_072424_00.CSV,3.5
1,FF30 sec timeout,FED007_072424_01.CSV,2.0
1,FF30 sec timeout,FED008_072424_01.CSV,7.0
1,FF30 sec timeout,FED009_072424_00.CSV,3.5
1,FFNo timeout,FED001_072224_00.CSV,0.0
1,FFNo timeout,FED002_072224_00.CSV,3.5
1,FFNo timeout,FED003_072224_00.CSV,4.0
1,FFNo timeout,FED004_072224_00.CSV,0.0
1,FFNo timeout,FED005_072224_00.CSV,6.0
1,FFNo timeout,FED006_072224_00.CSV,0.0
1,FFNo timeout,FED007_072124_00.CSV,0.0
1,FFNo timeout,FED008_072224_00.CSV,6.5
1,FFNo timeout,FED009_072224_00.CSV,0.0
1,FR1No timeout,FED001_FR1concat.csv,0.0
1,FR1No timeout,FED002_FR1concat.csv,5.5
1,FR1No timeout,FED003_FR1concat.csv,2.5
1,FR1No timeout,FED004_FR1concat.csv,0.0
1,FR1No timeout,FED005_FR1concat.csv,1.5
1,FR1No timeout,FED006_FR1concat.csv,2.0
1,FR1No timeout,FED007_FR1concat.csv,0.0
1,FR1No timeout,FED008_FR1concat.csv,0.0
1,FR1No timeout,FED009_FR1concat.csv,1.0
2,FF30 sec timeout,FED001_072424_00.CSV,13.5
2,FF30 sec timeout,FED002_072424_01.CSV,3.5
2,FF30 sec timeout,FED003_072424_00.CSV,7.0
2,FF30 sec timeout,FED004_072424_00.CSV,2.0
2,FF30 sec timeout,FED005_072424_01.CSV,0.5
2,FF30 sec timeout,FED006_072424_00.CSV,2.5
2,FF30 sec timeout,FED007_072424_01.CSV,4.5
2,FF30 sec timeout,FED008_072424_01.CSV,6.5
2,FF30 sec timeout,FED009_072424_00.CSV,3.5
2,FFNo timeout,FED001_072224_00.CSV,0.0
2,FFNo timeout,FED002_072224_00.CSV,4.0
2,FFNo timeout,FED003_072224_00.CSV,12.5
2,FFNo timeout,FED004_072224_00.CSV,3.5
2,FFNo timeout,FED005_072224_00.CSV,2.5
2,FFNo timeout,FED006_072224_00.CSV,6.0
2,FFNo timeout,FED007_072124_00.CSV,0.0
2,FFNo timeout,FED008_072224_00.CSV,6.0
2,FFNo timeout,FED009_072224_00.CSV,4.5
2,FR1No timeout,FED001_FR1concat.csv,0.0
2,FR1No timeout,FED002_FR1concat.csv,1.5
2,FR1No timeout,FED003_FR1concat.csv,2.0
2,FR1No timeout,FED004_FR1concat.csv,0.0
2,FR1No timeout,FED005_FR1concat.csv,2.0
2,FR1No timeout,FED006_FR1concat.csv,3.5
2,FR1No timeout,FED007_FR1concat.csv,0.0
2,FR1No timeout,FED008_FR1concat.csv,3.0
2,FR1No timeout,FED009_FR1concat.csv,0.0
3,FF30 sec timeout,FED001_072424_00.CSV,2.5
3,FF30 sec timeout,FED002_072424_01.CSV,0.0
3,FF30 sec timeout,FED003_072424_00.CSV,1.5
3,FF30 sec timeout,FED004_072424_00.CSV,4.5
3,FF30 sec timeout,FED005_072424_01.CSV,3.5
3,FF30 sec timeout,FED006_072424_00.CSV,4.5
3,FF30 sec timeout,FED007_072424_01.CSV,4.0
3,FF30 sec timeout,FED008_072424_01.CSV,3.5
3,FF30 sec timeout,FED009_072424_00.CSV,2.0
3,FFNo timeout,FED001_072224_00.CSV,14.5
3,FFNo timeout,FED002_072224_00.CSV,2.0
3,FFNo timeout,FED003_072224_00.CSV,2.0
3,FFNo timeout,FED004_072224_00.CSV,0.0
3,FFNo timeout,FED005_072224_00.CSV,8.5
3,FFNo timeout,FED006_072224_00.CSV,8.5
3,FFNo timeout,FED007_072124_00.CSV,1.5
3,FFNo timeout,FED008_072224_00.CSV,4.5
3,FFNo timeout,FED009_072224_00.CSV,6.0
3,FR1No timeout,FED001_FR1concat.csv,1.5
3,FR1No timeout,FED002_FR1concat.csv,1.0
3,FR1No timeout,FED003_FR1concat.csv,1.5
3,FR1No timeout,FED004_FR1concat.csv,2.5
3,FR1No timeout,FED005_FR1concat.csv,0.0
3,FR1No timeout,FED006_FR1concat.csv,0.0
3,FR1No timeout,FED007_FR1concat.csv,2.5
3,FR1No timeout,FED008_FR1concat.csv,0.5
3,FR1No timeout,FED009_FR1concat.csv,3.5
4,FF30 sec timeout,FED001_072424_00.CSV,2.0
4,FF30 sec timeout,FED002_072424_01.CSV,0.5
4,FF30 sec timeout,FED003_072424_00.CSV,3.5
4,FF30 sec timeout,FED004_072424_00.CSV,0.5
4,FF30 sec timeout,FED005_072424_01.CSV,1.0
4,FF30 sec timeout,FED006_072424_00.CSV,0.0
4,FF30 sec timeout,FED007_072424_01.CSV,2.5
4,FF30 sec timeout,FED008_072424_01.CSV,6.0
4,FF30 sec timeout,FED009_072424_00.CSV,5.0
4,FFNo timeout,FED001_072224_00.CSV,4.5
4,FFNo timeout,FED002_072224_00.CSV,0.5
4,FFNo timeout,FED003_072224_00.CSV,8.0
4,FFNo timeout,FED004_072224_00.CSV,4.0
4,FFNo timeout,FED005_072224_00.CSV,0.0
4,FFNo timeout,FED006_072224_00.CSV,7.5
4,FFNo timeout,FED007_072124_00.CSV,5.0
4,FFNo timeout,FED008_072224_00.CSV,7.0
4,FFNo timeout,FED009_072224_00.CSV,5.5
4,FR1No timeout,FED001_FR1concat.csv,2.5
4,FR1No timeout,FED002_FR1concat.csv,1.5
4,FR1No timeout,FED003_FR1concat.csv,2.0
4,FR1No timeout,FED004_FR1concat.csv,2.0
4,FR1No timeout,FED005_FR1concat.csv,1.5
4,FR1No timeout,FED006_FR1concat.csv,3.5
4,FR1No timeout,FED007_FR1concat.csv,0.0
4,FR1No timeout,FED008_FR1concat.csv,0.0
4,FR1No timeout,FED009_FR1concat.csv,2.0
5,FF30 sec timeout,FED001_072424_00.CSV,6.5
5,FF30 sec timeout,FED002_072424_01.CSV,0.0
5,FF30 sec timeout,FED003_072424_00.CSV,0.0
5,FF30 sec timeout,FED004_072424_00.CSV,0.0
5,FF30 sec timeout,FED005_072424_01.CSV,2.0
5,FF30 sec timeout,FED006_072424_00.CSV,0.0
5,FF30 sec timeout,FED007_072424_01.CSV,4.5
5,FF30 sec timeout,FED008_072424_01.CSV,4.5
